"Class","PathFile","Attributes","Methods","LOC","NOC","fanOut","WMC","LCOM"
"UninterpretedOption_NamePart","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","3","0","6","3","0","0","0"
"HeroServiceClient","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-usedate/hero.ts","0","6","14","6","0","-6","0"
"DashState","/home/school/MGL843/repos/ts-proto/integration/grpc-web-go-server/example.ts","0","2","5","2","0","-2","0"
"FieldMask","/home/school/MGL843/repos/ts-proto/integration/use-readonly-types/google/protobuf/field_mask.ts","1","0","5","1","0","0","0"
"SimpleWithSnakeCaseMap","/home/school/MGL843/repos/ts-proto/integration/simple-prototype-defaults/simple.ts","1","0","4","1","0","0","0"
"DashUserSettingsState","/home/school/MGL843/repos/ts-proto/integration/grpc-web-no-streaming/example.ts","3","0","6","3","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/output-encode-only/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"StringValue","/home/school/MGL843/repos/ts-proto/integration/simple/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"WithTimestamp","/home/school/MGL843/repos/ts-proto/integration/import-mapping/mapping.ts","1","0","4","1","0","0","0"
"ListValue","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"GrpcWebError","/home/school/MGL843/repos/ts-proto/integration/grpc-web-no-streaming/example.ts","0","1","6","1","0","-1","0"
"ExtensionRangeOptions","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","2","0","6","2","0","0","0"
"SimpleWithMap_MapOfTimestampsEntry","/home/school/MGL843/repos/ts-proto/integration/meta-typings/simple.ts","2","0","5","2","0","0","0"
"HeroServiceController","/home/school/MGL843/repos/ts-proto/integration/nestjs-metadata-grpc-js/hero.ts","0","3","8","3","0","-3","0"
"Struct","/home/school/MGL843/repos/ts-proto/integration/struct/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"Struct_FieldsEntry","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/google/protobuf/struct.ts","2","0","5","2","0","0","0"
"DateMessage","/home/school/MGL843/repos/ts-proto/integration/meta-typings/google/type/date.ts","3","0","19","3","0","0","0"
"Nested_InnerMessage_DeepMessage","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","1","0","4","1","0","0","0"
"UInt32Value","/home/school/MGL843/repos/ts-proto/integration/meta-typings/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Foo2","/home/school/MGL843/repos/ts-proto/integration/type-registry/foo.ts","2","0","5","2","0","0","0"
"DividerData","/home/school/MGL843/repos/ts-proto/integration/const-enum/const-enum.ts","2","0","5","2","0","0","0"
"EntityService","/home/school/MGL843/repos/ts-proto/integration/batching/batching.ts","0","4","9","4","0","-4","0"
"BytesValue","/home/school/MGL843/repos/ts-proto/integration/simple-long-string/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"OneofOptions","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","2","0","6","2","0","0","0"
"Something","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/something/something.ts","3","0","6","3","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/wrappers-regression/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Empty","/home/school/MGL843/repos/ts-proto/integration/use-date-true/google/protobuf/empty.ts","0","0","3","0","0","0","0"
"Int64Value","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Simple_StateMapEntry","/home/school/MGL843/repos/ts-proto/integration/simple-string-enums/simple.ts","2","0","5","2","0","0","0"
"BatchQueryRequest","/home/school/MGL843/repos/ts-proto/integration/batching/batching.ts","1","0","4","1","0","0","0"
"GetOnlyMethodResponse","/home/school/MGL843/repos/ts-proto/integration/batching-with-context/batching.ts","1","0","4","1","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/simple-snake/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Int64Value","/home/school/MGL843/repos/ts-proto/integration/wrappers-regression/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"HeroServiceController","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-usedate/hero.ts","0","6","14","6","0","-6","0"
"Child","/home/school/MGL843/repos/ts-proto/integration/use-optionals-all/test.ts","0","0","3","0","0","0","0"
"Entity","/home/school/MGL843/repos/ts-proto/integration/simple-prototype-defaults/simple.ts","1","0","4","1","0","0","0"
"UInt32Value","/home/school/MGL843/repos/ts-proto/integration/output-encode-only/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"GrpcWebImpl","/home/school/MGL843/repos/ts-proto/integration/grpc-web/example.ts","2","3","96","5","0","8","0"
"Villain","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/hero.ts","2","0","5","2","0","0","0"
"EnumDescriptorProto","/home/school/MGL843/repos/ts-proto/integration/options/google/protobuf/descriptor.ts","5","0","19","5","0","0","0"
"Villain","/home/school/MGL843/repos/ts-proto/integration/nestjs-metadata-restparameters/hero.ts","2","0","5","2","0","0","0"
"OneOfMessage","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","2","0","5","2","0","0","0"
"ListValue","/home/school/MGL843/repos/ts-proto/integration/struct/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"VillainById","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/hero.ts","1","0","4","1","0","0","0"
"SimpleWithMap_NameLookupEntry","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","2","0","5","2","0","0","0"
"FieldDescriptorProto","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","12","0","72","12","0","0","0"
"Foo","/home/school/MGL843/repos/ts-proto/integration/use-exact-types-false/foo.ts","2","0","5","2","0","0","0"
"Any","/home/school/MGL843/repos/ts-proto/integration/only-types/google/protobuf/any.ts","2","0","35","2","0","0","0"
"BoolValue","/home/school/MGL843/repos/ts-proto/integration/simple-prototype-defaults/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"SourceCodeInfo","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","2","0","50","2","0","0","0"
"DashStateClientImpl","/home/school/MGL843/repos/ts-proto/integration/grpc-web-no-streaming-observable/example.ts","1","2","17","3","1","0","0"
"ImportedThing","/home/school/MGL843/repos/ts-proto/integration/simple/import_dir/thing.ts","1","0","4","1","0","0","0"
"FloatValue","/home/school/MGL843/repos/ts-proto/integration/simple/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"ObjectId","/home/school/MGL843/repos/ts-proto/integration/use-objectid-true-external-import/objectid/objectid.ts","1","0","4","1","0","0","0"
"Nested","/home/school/MGL843/repos/ts-proto/integration/simple/simple.ts","3","0","6","3","0","0","0"
"StringValue","/home/school/MGL843/repos/ts-proto/integration/simple-optionals/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"TestMessage","/home/school/MGL843/repos/ts-proto/integration/omit-optionals/simple.ts","2","0","5","2","0","0","0"
"Struct","/home/school/MGL843/repos/ts-proto/integration/simple-string-enums/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"RequestType","/home/school/MGL843/repos/ts-proto/integration/options/options.ts","0","0","3","0","0","0","0"
"PingResponse","/home/school/MGL843/repos/ts-proto/integration/simple-snake/simple.ts","1","0","4","1","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-usedate/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"SimpleWithSnakeCaseMap_EntitiesByIdEntry","/home/school/MGL843/repos/ts-proto/integration/simple-optionals/simple.ts","2","0","5","2","0","0","0"
"FooBar","/home/school/MGL843/repos/ts-proto/integration/types-with-underscores/file.ts","0","0","3","0","0","0","0"
"SimpleWithMap_MapOfTimestampsEntry","/home/school/MGL843/repos/ts-proto/integration/simple/simple.ts","2","0","5","2","0","0","0"
"ServiceDescriptorProto","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","4","0","7","4","0","0","0"
"HeroServiceClient","/home/school/MGL843/repos/ts-proto/integration/nestjs-metadata-observables/hero.ts","0","3","8","3","0","-3","0"
"Struct_FieldsEntry","/home/school/MGL843/repos/ts-proto/integration/simple-string-enums/google/protobuf/struct.ts","2","0","5","2","0","0","0"
"ListValue","/home/school/MGL843/repos/ts-proto/integration/grpc-js/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"SimpleWithWrappers","/home/school/MGL843/repos/ts-proto/integration/simple-long/simple.ts","6","0","9","6","0","0","0"
"DataLoaders","/home/school/MGL843/repos/ts-proto/integration/lower-case-svc-methods/math.ts","1","1","5","2","0","-1","0"
"TestServer","/home/school/MGL843/repos/ts-proto/integration/grpc-js/simple.ts","21","0","35","21","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/import-mapping/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"DoubleValue","/home/school/MGL843/repos/ts-proto/integration/simple/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Int64Value","/home/school/MGL843/repos/ts-proto/integration/output-decode-only/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"FieldDescriptorProto","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","12","0","72","12","0","0","0"
"SimpleWithMap_IntLookupEntry","/home/school/MGL843/repos/ts-proto/integration/simple/simple.ts","2","0","5","2","0","0","0"
"EnumDescriptorProto_EnumReservedRange","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","3","0","8","3","0","0","0"
"Registration","/home/school/MGL843/repos/ts-proto/integration/only-types/reservation.ts","3","0","6","3","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/output-decode-only/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"BatchMethod","/home/school/MGL843/repos/ts-proto/src/types.ts","8","0","12","8","0","0","0"
"DashFlash","/home/school/MGL843/repos/ts-proto/integration/grpc-web-no-streaming-observable/example.ts","2","0","5","2","0","0","0"
"StringValue","/home/school/MGL843/repos/ts-proto/integration/simple-long/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"PingServiceClientImpl","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","2","2","15","4","1","0","0"
"DescriptorProto","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","11","0","18","11","0","0","0"
"EnumDescriptorProto_EnumReservedRange","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","3","0","8","3","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"UInt64Value","/home/school/MGL843/repos/ts-proto/integration/output-encode-no-creation-methods/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"TestClient","/home/school/MGL843/repos/ts-proto/integration/grpc-js-use-date-string/grpc-js-use-date-string.ts","0","6","30","6","0","-6","0"
"AppModule","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/nestjs-project/app.module.ts","0","0","21","0","0","0","0"
"MethodDescriptorProto","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","7","0","18","7","0","0","0"
"Struct","/home/school/MGL843/repos/ts-proto/integration/oneof-unions/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"UInt32Value","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"PingService","/home/school/MGL843/repos/ts-proto/integration/meta-typings/simple.ts","0","1","4","1","0","-1","0"
"MathService","/home/school/MGL843/repos/ts-proto/integration/lower-case-svc-methods/math.ts","0","4","7","4","0","-4","0"
"TestClient","/home/school/MGL843/repos/ts-proto/integration/grpc-js-use-date-true/grpc-js-use-date-true.ts","0","6","30","6","0","-6","0"
"HeroServiceClient","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple/hero.ts","0","6","14","6","0","-6","0"
"ListValue","/home/school/MGL843/repos/ts-proto/integration/use-map-type/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/simple-snake/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"Context","/home/school/MGL843/repos/ts-proto/integration/batching-with-context/batching-test.ts","1","1","11","2","0","2","0"
"DoubleValue","/home/school/MGL843/repos/ts-proto/integration/grpc-js/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"DoubleValue","/home/school/MGL843/repos/ts-proto/integration/output-encode-no-creation-methods/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Villain","/home/school/MGL843/repos/ts-proto/integration/generic-metadata/hero.ts","2","0","5","2","0","0","0"
"SimpleWithMap_IntLookupEntry","/home/school/MGL843/repos/ts-proto/integration/simple-long/simple.ts","2","0","5","2","0","0","0"
"Nested_InnerMessage_DeepMessage","/home/school/MGL843/repos/ts-proto/integration/simple-prototype-defaults/simple.ts","1","0","4","1","0","0","0"
"OneOfMessage","/home/school/MGL843/repos/ts-proto/integration/simple-optionals/simple.ts","2","0","5","2","0","0","0"
"VillainById","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-observables/hero.ts","1","0","4","1","0","0","0"
"EnumValueOptions","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","3","0","13","3","0","0","0"
"SimpleWithSnakeCaseMap","/home/school/MGL843/repos/ts-proto/integration/simple-snake/simple.ts","1","0","4","1","0","0","0"
"Empty","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-restparameters/google/protobuf/empty.ts","0","0","3","0","0","0","0"
"Rpc","/home/school/MGL843/repos/ts-proto/integration/no-proto-package/no-proto-package.ts","0","4","7","4","0","-4","0"
"PingRequest","/home/school/MGL843/repos/ts-proto/integration/simple-snake/simple.ts","1","0","4","1","0","0","0"
"Int64Value","/home/school/MGL843/repos/ts-proto/integration/meta-typings/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"UInt32Value","/home/school/MGL843/repos/ts-proto/integration/simple-snake/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"HeroById","/home/school/MGL843/repos/ts-proto/integration/nestjs-restparameters/hero.ts","1","0","4","1","0","0","0"
"Clock","/home/school/MGL843/repos/ts-proto/integration/use-date-true/use-date-true.ts","0","1","4","1","0","-1","0"
"DoubleValue","/home/school/MGL843/repos/ts-proto/integration/bytes-node/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"DoubleValue","/home/school/MGL843/repos/ts-proto/integration/simple-snake/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"PingService","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","0","1","4","1","0","-1","0"
"Error","/home/school/MGL843/repos/ts-proto/integration/global-this/global-this.ts","1","0","4","1","0","0","0"
"Villain","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-usedate/hero.ts","2","0","5","2","0","0","0"
"FileDescriptorProto","/home/school/MGL843/repos/ts-proto/integration/options/google/protobuf/descriptor.ts","12","0","38","12","0","0","0"
"Duration","/home/school/MGL843/repos/ts-proto/integration/use-json-wire-format/google/protobuf/duration.ts","2","0","18","2","0","0","0"
"BoolValue","/home/school/MGL843/repos/ts-proto/integration/output-decode-only/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"FileDescriptorSet","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","2","0","5","2","0","0","0"
"FieldMask","/home/school/MGL843/repos/ts-proto/integration/fieldmask/google/protobuf/field_mask.ts","1","0","5","1","0","0","0"
"HeroServiceController","/home/school/MGL843/repos/ts-proto/integration/nestjs-restparameters/hero.ts","0","3","8","3","0","-3","0"
"GetBasicResponse","/home/school/MGL843/repos/ts-proto/integration/only-types-grpc-metadata/only-types-grpc-metadata.ts","1","0","4","1","0","0","0"
"DashAPICredsCreateReq","/home/school/MGL843/repos/ts-proto/integration/grpc-web-go-server/example.ts","2","0","5","2","0","0","0"
"VillainById","/home/school/MGL843/repos/ts-proto/integration/nestjs-metadata/hero.ts","1","0","4","1","0","0","0"
"Maps_StrToEntityEntry","/home/school/MGL843/repos/ts-proto/integration/use-map-type/use-map-type.ts","2","0","5","2","0","0","0"
"BoolValue","/home/school/MGL843/repos/ts-proto/integration/grpc-js/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"SimpleWithMap_LongLookupEntry","/home/school/MGL843/repos/ts-proto/integration/simple-long/simple.ts","2","0","5","2","0","0","0"
"DashAPICredsClientImpl","/home/school/MGL843/repos/ts-proto/integration/grpc-web-go-server/example.ts","2","4","29","6","1","2","0"
"Int32Value","/home/school/MGL843/repos/ts-proto/integration/simple-long-bigint/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"SimpleWithSnakeCaseMap_EntitiesByIdEntry","/home/school/MGL843/repos/ts-proto/integration/meta-typings/simple.ts","2","0","5","2","0","0","0"
"EntityServiceClientImpl","/home/school/MGL843/repos/ts-proto/integration/batching/batching.ts","2","5","36","7","0","3","0"
"CodeGeneratorResponse","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/compiler/plugin.ts","4","0","21","4","0","0","0"
"Simple","/home/school/MGL843/repos/ts-proto/integration/use-numeric-enum-json/simple.ts","5","0","8","5","0","0","0"
"ListValue","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/struct.ts","1","0","5","1","0","0","0"
"PingRequest","/home/school/MGL843/repos/ts-proto/integration/simple-optionals/simple.ts","1","0","4","1","0","0","0"
"Rpc","/home/school/MGL843/repos/ts-proto/integration/meta-typings/simple.ts","0","1","4","1","0","-1","0"
"BoolValue","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"CodeGeneratorResponse_File","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/compiler/plugin.ts","5","0","66","5","0","0","0"
"DashState","/home/school/MGL843/repos/ts-proto/integration/grpc-web-no-streaming/example.ts","0","1","4","1","0","-1","0"
"WithStruct","/home/school/MGL843/repos/ts-proto/integration/import-mapping/mapping.ts","1","0","4","1","0","0","0"
"WithAll","/home/school/MGL843/repos/ts-proto/integration/import-mapping/mapping.ts","5","0","8","5","0","0","0"
"EnumValueDescriptorProto","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","4","0","7","4","0","0","0"
"Nested_InnerMessage","/home/school/MGL843/repos/ts-proto/integration/simple-snake/simple.ts","2","0","5","2","0","0","0"
"AppComponent","/home/school/MGL843/repos/ts-proto/integration/angular/src/app/app.component.ts","1","1","15","2","0","-1","0"
"PingServiceClientImpl","/home/school/MGL843/repos/ts-proto/integration/meta-typings/simple.ts","2","2","15","4","0","0","0"
"SimpleWithMap_IntLookupEntry","/home/school/MGL843/repos/ts-proto/integration/simple-prototype-defaults/simple.ts","2","0","5","2","0","0","0"
"Rpc","/home/school/MGL843/repos/ts-proto/integration/batching-with-context/batching-test.ts","0","1","6","1","0","1","0"
"FileDescriptorSet","/home/school/MGL843/repos/ts-proto/integration/options/google/protobuf/descriptor.ts","1","0","4","1","0","0","0"
"MyMessage","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/options.ts","5","0","8","5","0","0","0"
"DividerData_TypeMapEntry","/home/school/MGL843/repos/ts-proto/integration/const-enum/const-enum.ts","2","0","5","2","0","0","0"
"PingResponse","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","1","0","4","1","0","0","0"
"SimpleWithSnakeCaseMap","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/simple.ts","1","0","4","1","0","0","0"
"FieldOptions","/home/school/MGL843/repos/ts-proto/integration/options/google/protobuf/descriptor.ts","7","0","73","7","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/simple-long-bigint/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"UInt32Value","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Int32Value","/home/school/MGL843/repos/ts-proto/integration/wrappers-regression/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"BytesValue","/home/school/MGL843/repos/ts-proto/integration/nice-grpc/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/simple/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"FloatValue","/home/school/MGL843/repos/ts-proto/integration/simple-unrecognized-enum/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"Factory","/home/school/MGL843/repos/ts-proto/integration/return-observable/observable.ts","0","1","4","1","0","-1","0"
"FooServiceCreateResponse","/home/school/MGL843/repos/ts-proto/integration/avoid-import-conflicts/simple.ts","1","0","4","1","0","0","0"
"StringValue","/home/school/MGL843/repos/ts-proto/integration/value/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"BoolValue","/home/school/MGL843/repos/ts-proto/integration/simple-snake/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"DescriptorProto_ExtensionRange","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","4","0","9","4","0","0","0"
"GroupsNestedTest_Group_Nested","/home/school/MGL843/repos/ts-proto/integration/groups/test.ts","2","0","5","2","0","0","0"
"HeroById","/home/school/MGL843/repos/ts-proto/integration/nestjs-metadata-observables/hero.ts","1","0","4","1","0","0","0"
"GeneratedCodeInfo_Annotation","/home/school/MGL843/repos/ts-proto/protos/google/protobuf/descriptor.ts","5","0","22","5","0","0","0"
"Timestamp","/home/school/MGL843/repos/ts-proto/integration/use-date-string/google/protobuf/timestamp.ts","2","0","16","2","0","0","0"
"GroupsNestedTest","/home/school/MGL843/repos/ts-proto/integration/groups/test.ts","4","0","7","4","0","0","0"
"PingResponse","/home/school/MGL843/repos/ts-proto/integration/simple-optionals/simple.ts","1","0","4","1","0","0","0"
"AppModule","/home/school/MGL843/repos/ts-proto/integration/nestjs-simple-restparameters/nestjs-project/app.module.ts","0","0","18","0","0","0","0"
"ClockClientImpl","/home/school/MGL843/repos/ts-proto/integration/use-date-true/use-date-true.ts","2","2","15","4","0","0","0"
"Struct_FieldsEntry","/home/school/MGL843/repos/ts-proto/integration/grpc-js/google/protobuf/struct.ts","2","0","5","2","0","0","0"
"Child","/home/school/MGL843/repos/ts-proto/integration/simple-deprecated-fields/simple.ts","1","0","4","1","0","0","0"
"UninterpretedOption","/home/school/MGL843/repos/ts-proto/integration/unknown-fields/google/protobuf/descriptor.ts","8","0","15","8","0","0","0"
"FloatValue","/home/school/MGL843/repos/ts-proto/integration/meta-typings/google/protobuf/wrappers.ts","1","0","5","1","0","0","0"
"SimpleWithSnakeCaseMap","/home/school/MGL843/repos/ts-proto/integration/simple/simple.ts","1","0","4","1","0","0","0"
"PingService","/home/school/MGL843/repos/ts-proto/integration/simple/simple.ts","0","1","4","1","0","-1","0"
