Project,Source,Model
fluentui,/home/school/MGL843/repos/fluentui,/home/school/MGL843/inputs-outputs/models/fluentui.json
ant-design,/home/school/MGL843/repos/ant-design,/home/school/MGL843/inputs-outputs/models/ant-design.json
utopia,/home/school/MGL843/repos/utopia,/home/school/MGL843/inputs-outputs/models/utopia.json
berry,/home/school/MGL843/repos/berry,/home/school/MGL843/inputs-outputs/models/berry.json
ts-proto,/home/school/MGL843/repos/ts-proto,/home/school/MGL843/inputs-outputs/models/ts-proto.json
next-auth,/home/school/MGL843/repos/next-auth,/home/school/MGL843/inputs-outputs/models/next-auth.json
superset,/home/school/MGL843/repos/superset,/home/school/MGL843/inputs-outputs/models/superset.json
formatjs,/home/school/MGL843/repos/formatjs,/home/school/MGL843/inputs-outputs/models/formatjs.json
pxt,/home/school/MGL843/repos/pxt,/home/school/MGL843/inputs-outputs/models/pxt.json
language-tools,/home/school/MGL843/repos/language-tools,/home/school/MGL843/inputs-outputs/models/language-tools.json
vuetify,/home/school/MGL843/repos/vuetify,/home/school/MGL843/inputs-outputs/models/vuetify.json
astro,/home/school/MGL843/repos/astro,/home/school/MGL843/inputs-outputs/models/astro.json
parabol,/home/school/MGL843/repos/parabol,/home/school/MGL843/inputs-outputs/models/parabol.json
prisma,/home/school/MGL843/repos/prisma,/home/school/MGL843/inputs-outputs/models/prisma.json
instantsearch,/home/school/MGL843/repos/instantsearch,/home/school/MGL843/inputs-outputs/models/instantsearch.json
stencil,/home/school/MGL843/repos/stencil,/home/school/MGL843/inputs-outputs/models/stencil.json
react-hook-form,/home/school/MGL843/repos/react-hook-form,/home/school/MGL843/inputs-outputs/models/react-hook-form.json
typescript-eslint,/home/school/MGL843/repos/typescript-eslint,/home/school/MGL843/inputs-outputs/models/typescript-eslint.json
awesome-cordova-plugins,/home/school/MGL843/repos/awesome-cordova-plugins,/home/school/MGL843/inputs-outputs/models/awesome-cordova-plugins.json
textlint,/home/school/MGL843/repos/textlint,/home/school/MGL843/inputs-outputs/models/textlint.json
directus,/home/school/MGL843/repos/directus,/home/school/MGL843/inputs-outputs/models/directus.json
code-server,/home/school/MGL843/repos/code-server,/home/school/MGL843/inputs-outputs/models/code-server.json
ngx-admin,/home/school/MGL843/repos/ngx-admin,/home/school/MGL843/inputs-outputs/models/ngx-admin.json
